Location Name,Amount Spent (USD)
Alabama,2173444
Alaska,608724
American Samoa,808
Arizona,6710654
Arkansas,1241249
California,23220667
Colorado,4201296
Connecticut,1756246
Delaware,608039
Florida,15685746
Georgia,7207200
Guam,16640
Hawaii,758747
Idaho,1027396
Illinois,8031412
Indiana,3499979
Iowa,2351118
Kansas,1523665
Kentucky,2958389
Louisiana,2142809
Maine,1951858
Maryland,3930203
Massachusetts,4200345
Michigan,9999362
Minnesota,3177017
Mississippi,1200784
Missouri,3143782
Montana,1075082
Nebraska,1016170
Nevada,2246580
New Hampshire,848513
New Jersey,5245801
New Mexico,1794472
New York,15409396
North Carolina,7248509
North Dakota,421264
Northern Mariana Islands,≤100
Ohio,6294042
Oklahoma,2008188
Oregon,3410777
Pennsylvania,11132242
Puerto Rico,37630
Rhode Island,582562
South Carolina,3037536
South Dakota,430420
Tennessee,3228678
Texas,14577192
Unknown,976
Utah,1690377
Vermont,475799
Virgin Islands (U.S.),3368
Virginia,4881063
Washington,4579671
"Washington, District of Columbia",1151543
West Virginia,1442807
Wisconsin,6610945
Wyoming,328742
