Page ID,Page Name,Disclaimer,Amount Spent (USD)
737067693087816,American Samoa Alliance Against Domestic & Sexual Violence,American Samoa Alliance against Domestic & Sexual Violence,336
105360034323953,Nua & Satele 2020,Nua & Satele 2020,330
359963004611747,Iaulualo & Tapaau 2020,Iaulualo & Tapaau for American Samoa Governor & Lt Governor 2020,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
110824527155685,Lemanu & Talauega 2020,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,≤100
101396494839537,The World's Information,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
87564186290,Antics,These ads ran without a disclaimer,≤100
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100
204426307048,Check Point Software Technologies,These ads ran without a disclaimer,≤100
104297351178657,Up Front,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100
100705588254259,"Adv. Sanjeev Sehgal - Additional Advocate general, Supreme Court of India",These ads ran without a disclaimer,≤100
246686818686875,Tai Lopez,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
413578449406689,State of Survival,These ads ran without a disclaimer,≤100
1484182851884736,Mila Marsel,These ads ran without a disclaimer,≤100
1691776254387133,Newchic,These ads ran without a disclaimer,≤100
119237256129442,BEEO,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
104909464219171,Coach with Kilo Fit,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
