Page ID,Page Name,Disclaimer,Amount Spent (USD)
629062130882339,Congressman Michael F.Q. San Nicolas - Guam,United States House of Representatives,13578
308817409741999,Governor Lou Leon Guerrero,Office of the Governor of Guam,747
303943826419440,Senator Wil Castro,4 Wil Drive,304
751378318588766,Prevent UnWanted Species Guam,"Sustainable Resources Group Intn'l, Inc.",297
1461863774118436,Bureau of Statistics & Plans,Bureau of Statistics & Plans,243
11131463701,truth,TRUTH INITIATIVE FOUNDATION,216
590772954430493,Guam Citizens for Public Accountability,Guam Citizens for Public Accountability,210
314499212242,Pfizer,Pfizer Inc.,208
106347817561634,Vince Borja for Senator,Vincent Anthony Velasco Borja,185
171540600327698,Senator Amanda L. Shelton,Amanda L. Shelton,160
1619846278287279,Guam for Bernie,Julian  C Janssen,133
463135357452749,Senator James Camacho Moylan,Committee to Re-Elect James Moylan for Senator,111
108602900749242,Guam Fair Housing Study,These ads ran without a disclaimer,≤100
147247385296588,Senator Telo T. Taitague,Telo T Taitague,≤100
147247385296588,Senator Telo T. Taitague,Telo Teresa Taitague,≤100
265121981068221,Civic 365,Muneer None Uddin,≤100
1691667177798461,Brut,Brut,≤100
109606223941032,Senator Sabina Flores Perez,Jaceth M Duenas,≤100
108602900749242,Guam Fair Housing Study,SMS Research,≤100
101301278284850,Ken Leon Guerrero for Senator,Joaquin Leon Guerrero,≤100
0,Instagram User 5730706031,These ads ran without a disclaimer,≤100
227929253905267,Dr. Shieh's Clinic,These ads ran without a disclaimer,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
590772954430493,Guam Citizens for Public Accountability,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
101396494839537,The World's Information,These ads ran without a disclaimer,≤100
413578449406689,State of Survival,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
124955570892789,Bernie Sanders,BERNIE 2020,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
104909464219171,Coach with Kilo Fit,These ads ran without a disclaimer,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
110680677238922,Leaf manuscript,These ads ran without a disclaimer,≤100
1691776254387133,Newchic,These ads ran without a disclaimer,≤100
102629161400392,Pier-100,These ads ran without a disclaimer,≤100
153371894688575,World Bank,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
841633935930452,탈잉 - 세상의 모든 재능,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
106895267515724,Awmoon.com02,These ads ran without a disclaimer,≤100
542573792449786,JMtheMelomane,These ads ran without a disclaimer,≤100
92572781406,"Gavi, the Vaccine Alliance",These ads ran without a disclaimer,≤100
87564186290,Antics,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
104215950997913,Tekniq Apparel,These ads ran without a disclaimer,≤100
106230730951842,Fy abbey-shop,These ads ran without a disclaimer,≤100
138513872828179,House of Destiny Network,These ads ran without a disclaimer,≤100
104199921245123,Corntined,These ads ran without a disclaimer,≤100
581961658564804,Learn Chinese,These ads ran without a disclaimer,≤100
102275404732791,Muslim Pocket,These ads ran without a disclaimer,≤100
101604378097884,Awesome Science,These ads ran without a disclaimer,≤100
104297351178657,Up Front,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
104691807891422,MUSIK IN MAH VEIN.Z,These ads ran without a disclaimer,≤100
106508251050555,Metro Jam Chain,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
204426307048,Check Point Software Technologies,These ads ran without a disclaimer,≤100
780606555331010,American Student Loan Advocate,ASLR Marketing,≤100
246686818686875,Tai Lopez,These ads ran without a disclaimer,≤100
562378543780840,King Kong Co.,These ads ran without a disclaimer,≤100
1484182851884736,Mila Marsel,These ads ran without a disclaimer,≤100
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
1839744573004791,Darrell Patterson,These ads ran without a disclaimer,≤100
1327561383989325,Fashionshoppro,These ads ran without a disclaimer,≤100
647380495652111,The Oxygen Project,These ads ran without a disclaimer,≤100
103465247940703,Good Life,These ads ran without a disclaimer,≤100
100248521632741,Dealsbytheday,These ads ran without a disclaimer,≤100
107665115102,Mission Network News,These ads ran without a disclaimer,≤100
755040304566172,Rove Hotels,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
111673103583478,Earthlogy,These ads ran without a disclaimer,≤100
