Page ID,Page Name,Disclaimer,Amount Spent (USD)
202626512363,U.S. Census Bureau,U.S. Census Bureau,219141
7860876103,Joe Biden,BIDEN FOR PRESIDENT,199718
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,139277
373309922717773,Indiana Secretary of State Connie Lawson,Indiana Secretary of State,109510
156968474833352,Stop Republicans,Stop Republicans,109395
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",64124
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,59106
587835028017559,Eric Holcomb,Eric Holcomb for Indiana,56794
11131463701,truth,TRUTH INITIATIVE FOUNDATION,42496
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,37843
249220035141307,Planned Parenthood of Indiana and Kentucky,Planned Parenthood of Indiana and Kentucky,35185
20787991568,Senate Democrats,DSCC,31255
9324910069,NRSC,NRSC,28989
1883837055193241,Shield Republic,Shield Republic,26009
700806360047982,CFG Action,Club for Growth Action,23048
100562019990818,U.S. Term Limits,U.S. Term Limits Inc.,22993
107858693983382,The GOP Shop,The GOP Shop,21983
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,21445
955229597909090,Jim Harper,HARPER FOR CONGRESS,21178
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),19989
127225910653607,PragerU,PragerU,19785
25055115099,Intuit,INTUIT INC.,19777
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",19636
2352630938293825,Mytacticalpromos,Entremax,19362
92925746942,Judicial Watch,Judicial Watch,18614
243399129090445,Christina Hale,HOOSIERS FOR HALE,18461
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,18134
196382377057315,Learn Our History,Learn Our History,17874
108824017345866,Facebook,"Facebook, Inc.",17378
1449461518652183,4Patriots,4Patriots LLC,17254
108524420538011,Hoosiers for Renewables,Hoosiers for Renewables LLC,17137
73970658023,International Rescue Committee,International Rescue Committee,16643
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,15814
7976226799,The Daily Show,Comedy Central,15060
195677507502785,INvestEd,INvestEd,14858
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",14767
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,14760
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,14725
174009339411865,SmartNews,"SmartNews International, Inc.",14474
6204742571,Sierra Club,SIERRA CLUB,14226
126499578750103,Beth Henderson,Beth for Indiana,13357
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,13013
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,12404
111182343682003,Certified CCW,CertifiedCCW.com,12129
1295279420598401,Victoria Spartz,Victoria Spartz for Congress,11909
1593518174052711,Candace Owens,Candace Owens LLC,11410
200650357207240,I Love My Freedom,I Love My Freedom,11340
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,11235
1374134752633656,New Health Plans,Shop Insurance Plans,11224
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",10948
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,10941
797361757127895,Justin Busch,Justin Busch for State Senate,10851
1397107470329790,Mara Candelaria Reardon for Indiana,Mara for Congress,10517
950998258312654,Knowhere,"Knowhere, Inc.",10355
54312801874,Indiana Republican Party,Indiana Republican State Committee,10183
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,9914
302182941354,AARP Advocates,AARP,9906
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,9701
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,9693
121388362246,Goldman Sachs,Goldman Sachs & Co.,9608
1479923688811438,Geothermal,Geothermal Exchange Organization,9601
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,9559
305832706292882,American Gun Association,GunAssociation.org,9282
1878332172410716,Be SMART for Kids,Everytown for Gun Safety Support Fund Inc,9256
345504286342057,Keeping America Great Again,RightWingGear.com,9253
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,9249
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,9204
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,9170
158791100909689,Concerned Veterans for America,Concerned Veterans for America,9118
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,9019
203805062990264,Ben Shapiro,The Daily Wire,8909
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,8856
1025055787535714,A Case for Women,A Case for Women,8826
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,8819
178051136001622,Representative Trey Hollingsworth,Office of Representative Trey Hollingsworth (IN-09),8807
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,8766
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,8761
201470373308396,BMO Harris Bank,BMO Harris Bank,8707
576753362477767,Dr. Chuck Dietzen,DR. CHUCK FOR CONGRESS,8685
25852730092,Care2,Care2 Inc,8469
461204744067686,Family Protection Association,Family Protection Association,8187
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,8183
