Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN FOR PRESIDENT,96471
202626512363,U.S. Census Bureau,U.S. Census Bureau,95826
156968474833352,Stop Republicans,Stop Republicans,57644
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,57276
1790258774419239,Representative Sharice Davids,Representative Sharice Davids,43569
111324359048459,Dr. Roger Marshall,KANSANS FOR MARSHALL,36607
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",29468
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,25072
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,18965
350523542184,Trust Women,Trust Women,17289
130975650300043,Kansas State Treasurer Jake LaTurner,Kansas State Treasurer's Office,16436
20787991568,Senate Democrats,DSCC,15410
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,14646
9324910069,NRSC,NRSC,12662
1883837055193241,Shield Republic,Shield Republic,12166
11131463701,truth,TRUTH INITIATIVE FOUNDATION,10935
1465562810341589,Kansas Values Institute,Kansas Values Institute,10670
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),10381
196382377057315,Learn Our History,Learn Our History,10191
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,9918
127225910653607,PragerU,PragerU,9415
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",9247
73970658023,International Rescue Committee,International Rescue Committee,8694
107858693983382,The GOP Shop,The GOP Shop,8545
25055115099,Intuit,INTUIT INC.,8236
303060840551495,Congressman Steve Watkins,official funds authorized by the U.S. House of Representatives,8183
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,8180
1449461518652183,4Patriots,4Patriots LLC,8099
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,8088
542530592949093,Dave Lindstrom,LINDSTROM FOR SENATE,8040
102010414526755,Dr. Bill Clifford,CLIFFORD FOR CONGRESS,7999
92925746942,Judicial Watch,Judicial Watch,7955
108824017345866,Facebook,"Facebook, Inc.",7922
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",7909
2352630938293825,Mytacticalpromos,Entremax,7475
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,7449
1562290543991677,Alliance for a Healthy Kansas,Community Care Network of Kansas,7246
7976226799,The Daily Show,Comedy Central,6808
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,6787
111475300415155,Bob Hamilton,Bob Hamilton for Kansas,6648
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,6349
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,6320
1593518174052711,Candace Owens,Candace Owens LLC,6164
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,6022
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,5955
1374134752633656,New Health Plans,Shop Insurance Plans,5524
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,5437
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,5408
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",5229
572946842722169,Jake LaTurner,KANSANS FOR LATURNER,5101
950998258312654,Knowhere,"Knowhere, Inc.",4902
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,4781
