Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN FOR PRESIDENT,251605
156968474833352,Stop Republicans,Stop Republicans,159338
202626512363,U.S. Census Bureau,U.S. Census Bureau,132010
102595498024546,MN vs Trump,Alliance for a Better Minnesota Federal PAC,112456
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,88658
347978955534783,Solcius,Solcius,84254
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,48373
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",45858
45169169993,Planned Parenthood Minnesota Advocate,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",42814
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,38064
242077219243971,The Presidential Coalition,The Presidential Coalition,36130
20787991568,Senate Democrats,DSCC,35456
73970658023,International Rescue Committee,International Rescue Committee,34003
130467958471,Jason Lewis,Jason Lewis for Senate,33504
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),30776
191247007554047,Center of the American Experiment,Center of the American Experiment,30651
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Federal PAC,23718
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,22942
127225910653607,PragerU,PragerU,22496
1883837055193241,Shield Republic,Shield Republic,19826
15650561930,Conservation Minnesota,CONSERVATION MINNESOTA,19527
49651563727,Live Action,Live Action,19185
260754507296508,The Voter Participation Center,Voter Participation Center,19101
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,18977
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,18381
108824017345866,Facebook,"Facebook, Inc.",18356
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,17679
9324910069,NRSC,NRSC,17568
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,17317
609926319458332,Rep. Dean Phillips,Representative Dean Phillips,15944
152351908154834,Union Gospel Mission Twin Cities,UNION GOSPEL MISSION ASSOCIATION OF ST PAUL INC,15650
11131463701,truth,TRUTH INITIATIVE FOUNDATION,15360
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,14947
25055115099,Intuit,INTUIT INC.,14552
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,14460
7976226799,The Daily Show,Comedy Central,14243
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,13808
36474716066,Color Of Change,ColorofChange.org,13539
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",12839
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,12645
196382377057315,Learn Our History,Learn Our History,12602
945005292238581,Minnesotans for a Smoke-Free Generation,ClearWay Minnesota,12463
107858693983382,The GOP Shop,The GOP Shop,12348
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,12229
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,11965
92925746942,Judicial Watch,Judicial Watch,11713
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",11262
228754857151053,House Majority PAC,House Majority PAC,10972
1593518174052711,Candace Owens,Candace Owens LLC,10944
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",10744
602714436529710,End Citizens United,END CITIZENS UNITED,10364
2352630938293825,Mytacticalpromos,Entremax,10158
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,10020
1449461518652183,4Patriots,4Patriots LLC,10000
236369846383459,Congressional Black Caucus PAC,Congressional Black Caucus PAC,9855
174009339411865,SmartNews,"SmartNews International, Inc.",9795
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,9644
