Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN FOR PRESIDENT,202853
202626512363,U.S. Census Bureau,U.S. Census Bureau,181559
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,125133
156968474833352,Stop Republicans,Stop Republicans,117141
253153019746,Eric Greitens,Greitens for Missouri,73023
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",59819
215485388588143,Ann Wagner,Office of Congresswoman Ann Wagner,53561
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,52881
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,38473
149366465128820,Nicole Galloway,Nicole Galloway for Missouri,30713
10461186460,Ben & Jerry's,"BEN & JERRY'S HOMEMADE, INC.",30694
20787991568,Senate Democrats,DSCC,30232
379629934282,Mike Parson,Parson for Missouri,28833
2246364628908665,Uniting Missouri,Uniting Missouri,28572
1883837055193241,Shield Republic,Shield Republic,25052
9324910069,NRSC,NRSC,24831
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),20915
11131463701,truth,TRUTH INITIATIVE FOUNDATION,20670
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,20445
1636216106590985,Josh Hawley,JOSH HAWLEY FOR SENATE,19556
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,19146
196382377057315,Learn Our History,Learn Our History,18691
1528582864058061,Missouri Century Foundation,Missouri Century Foundation,18392
107858693983382,The GOP Shop,The GOP Shop,18378
127225910653607,PragerU,PragerU,18223
73970658023,International Rescue Committee,International Rescue Committee,17858
25055115099,Intuit,INTUIT INC.,17592
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",17576
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,17156
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,16943
155556224849458,Clean Missouri,Clean Missouri,16828
92925746942,Judicial Watch,Judicial Watch,16775
518194348194441,RepresentUs,RepresentUs,16237
2352630938293825,Mytacticalpromos,Entremax,15726
1449461518652183,4Patriots,4Patriots LLC,15555
105039307538884,Missouri Census 2020,Complete Count Committee,15089
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,14957
108824017345866,Facebook,"Facebook, Inc.",14602
701314813317534,New Wentzvillian For St Charles Countians,New Wentzvillian,14024
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,13724
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",13672
7976226799,The Daily Show,Comedy Central,13278
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,12592
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,12286
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,12194
1504244649711873,The Right Time,Power to Decide,11101
1374134752633656,New Health Plans,Shop Insurance Plans,10986
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,10976
1878332172410716,Be SMART for Kids,Everytown for Gun Safety Support Fund Inc,10740
1593518174052711,Candace Owens,Candace Owens LLC,10706
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,10408
17801244148,Jill Schupp,SCHUPP FOR CONGRESS,10392
111182343682003,Certified CCW,CertifiedCCW.com,10185
6204742571,Sierra Club,SIERRA CLUB,10161
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",10062
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,9791
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,9677
950998258312654,Knowhere,"Knowhere, Inc.",9599
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,8909
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,8831
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,8789
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,8709
200650357207240,I Love My Freedom,I Love My Freedom,8631
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,8587
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,8529
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,8488
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,8422
302182941354,AARP Advocates,AARP,8390
121388362246,Goldman Sachs,Goldman Sachs & Co.,8296
158791100909689,Concerned Veterans for America,Concerned Veterans for America,8277
156020305001703,It Starts Today - Missouri,It Starts Today Missouri,8269
1479923688811438,Geothermal,Geothermal Exchange Organization,8223
147781045791179,Liberty Alliance,Liberty Alliance USA,8212
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,8167
203805062990264,Ben Shapiro,The Daily Wire,7989
305832706292882,American Gun Association,GunAssociation.org,7974
602714436529710,End Citizens United,END CITIZENS UNITED,7955
345504286342057,Keeping America Great Again,RightWingGear.com,7944
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,7858
236369846383459,Congressional Black Caucus PAC,Congressional Black Caucus PAC,7854
1025055787535714,A Case for Women,A Case for Women,7834
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,7701
228754857151053,House Majority PAC,House Majority PAC,7671
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7539
127216280686110,Ann Wagner,Ann Wagner for Congress,7534
25852730092,Care2,Care2 Inc,7030
137932966292045,Holly Rehder,Friends of Holly Rehder,6954
18982436812,ACLU,American Civil Liberties Union,6918
332716170522025,America First Action,America First Action,6875
85452072376,Newsmax,Newsmax Media,6826
105756057589080,The Lincoln Project,The Lincoln Project,6825
461204744067686,Family Protection Association,Family Protection Association,6808
