Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN FOR PRESIDENT,230
11131463701,truth,TRUTH INITIATIVE FOUNDATION,157
202626512363,U.S. Census Bureau,U.S. Census Bureau,131
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,≤100
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,≤100
630361950488652,Rhonda Rebman Lopez,"Rhonda Rebman Lopez For State Representative, District 120",≤100
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
156968474833352,Stop Republicans,Stop Republicans,≤100
111182343682003,Certified CCW,CertifiedCCW.com,≤100
20787991568,Senate Democrats,DSCC,≤100
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,≤100
1025055787535714,A Case for Women,A Case for Women,≤100
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,≤100
681626158940626,Mission Roll Call,Americas Warrior Partnership,≤100
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
97830335456,Patagonia,"PATAGONIA, INC.",≤100
129914120385683,Families USA,Families USA,≤100
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
306014916971663,Sam Steele for Tax Collector,"Sam Steele, Rep. Party, for Monroe County Tax Collector",≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
127225910653607,PragerU,PragerU,≤100
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,≤100
7483836629,Ancestry,Ancestry.com Operations Inc.,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
112621057029615,Stay Home Save Lives,"Stay Home, Save Lives",≤100
196382377057315,Learn Our History,Learn Our History,≤100
20876805343,March of Dimes,MARCH OF DIMES INC.,≤100
2239612502972248,Friends of Car-Free Key West,Christopher Robert Hamilton,≤100
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",≤100
305832706292882,American Gun Association,GunAssociation.org,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
22877548156,Earth Day Network,EARTH DAY NETWORK INC,≤100
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),≤100
109891623929786,Jonathan Cable for Lincoln County District Attorney,Jonathan Harper Cable,≤100
1883837055193241,Shield Republic,Shield Republic,≤100
36474716066,Color Of Change,COLOROFCHANGE.ORG,≤100
110266808996023,Port of San Diego,SAN DIEGO UNIFIED PORT DISTRICT,≤100
360424321432255,Doha Debates,Doha Debates,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,≤100
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,≤100
103276821014871,Aileen Galvan for Tax Collector,"Aileen Galvan, Dem. Party, for Monroe County Tax Collector",≤100
264674204408717,Atlantic Key Energy,Atlantic Key Energy,≤100
126575267904438,Love Beauty and Planet,Unilever,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
73970658023,International Rescue Committee,International Rescue Committee,≤100
239880129983455,California Term Limits,U.S. Term Limits Inc.,≤100
113842443643787,QuickConcealed,QuickConcealed.com,≤100
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,≤100
167586229923327,World Food Program USA,World Food Program USA,≤100
116534199732974,USA Carry Online,USA Carry Online,≤100
102206620458674,Leaders Igniting Transformation,"Leaders Igniting Transformation Action Fund, Inc.",≤100
76625396025,CDC,Centers for Disease Control and Prevention (CDC) with Facebook ad credits,≤100
1449461518652183,4Patriots,4Patriots LLC,≤100
161186620643972,American Institute for Economic Research,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,≤100
795601923917961,Better Place Forests,Better Place Forests,≤100
169130743498585,Tactical Pro Supply,Chad Keller,≤100
8321461609,MomsRising.org,MomsRising Together,≤100
49651563727,Live Action,Live Action,≤100
2352630938293825,Mytacticalpromos,Entremax,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",≤100
684473794899189,"Sanders Phillips Grossman, LLC",Legal Action Media,≤100
111622410196045,State of Youth,KidsRights with Facebook ad credits,≤100
6985452607,Brita USA,The Clorox Company,≤100
