Page ID,Page Name,Disclaimer,Amount Spent (USD)
121473466911,AARP Virgin Islands,AARP,1356
365174366842918,ProSolar Caribbean,Prosolar Caribbean,1324
100250041633104,INFO Vi News,David A Whitaker,334
302182941354,AARP Advocates,AARP,257
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
333199340043595,Alma Francis Heyliger,Alma Alicia Francis,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
1013641328680628,Alicia Morgan - Immigration Lawyers USA,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
104215950997913,Tekniq Apparel,These ads ran without a disclaimer,≤100
110184377340359,Natural Teeth Company,These ads ran without a disclaimer,≤100
428060501273236,SKN Forward,These ads ran without a disclaimer,≤100
105099061145842,Jimtechtacles,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
104199921245123,Corntined,These ads ran without a disclaimer,≤100
104017187750116,Living With A Bulldog,These ads ran without a disclaimer,≤100
185786541488128,Rotary Club Harborside of STX,These ads ran without a disclaimer,≤100
104909464219171,Coach with Kilo Fit,These ads ran without a disclaimer,≤100
413578449406689,State of Survival,These ads ran without a disclaimer,≤100
106895267515724,Awmoon.com02,These ads ran without a disclaimer,≤100
111673103583478,Earthlogy,These ads ran without a disclaimer,≤100
113932703397653,Ultimate Goodsvibe,These ads ran without a disclaimer,≤100
100449411476750,Earth Stance,These ads ran without a disclaimer,≤100
104231691204802,PollMask,These ads ran without a disclaimer,≤100
103465247940703,Good Life,These ads ran without a disclaimer,≤100
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
102629161400392,Pier-100,These ads ran without a disclaimer,≤100
204426307048,Check Point Software Technologies,These ads ran without a disclaimer,≤100
108702164206495,therealfabe,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
100622471621018,Yao Sheng Fives,These ads ran without a disclaimer,≤100
108599624139755,Elix Bottle,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
100949791655676,JusticeElite,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,U.S. Census Bureau,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
106508251050555,Metro Jam Chain,These ads ran without a disclaimer,≤100
138513872828179,House of Destiny Network,These ads ran without a disclaimer,≤100
1691776254387133,Newchic,These ads ran without a disclaimer,≤100
2030859403853303,Mutiny Island Vodka,These ads ran without a disclaimer,≤100
1839744573004791,Darrell Patterson,These ads ran without a disclaimer,≤100
118000384900593,Art brands,These ads ran without a disclaimer,≤100
298827966811602,Trump Recession,Maurice Lane Ponsart,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
100248521632741,Dealsbytheday,These ads ran without a disclaimer,≤100
324785111015146,The Reformed Constitutionalist,Michael John Cuellar,≤100
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100
102251474732882,Aurora LED,These ads ran without a disclaimer,≤100
102704854680406,Black Fitcuter,These ads ran without a disclaimer,≤100
124955570892789,Bernie Sanders,BERNIE 2020,≤100
