Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN FOR PRESIDENT,402592
202626512363,U.S. Census Bureau,U.S. Census Bureau,356436
156968474833352,Stop Republicans,Stop Republicans,185263
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,141669
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,118857
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,77772
116534199732974,USA Carry Online,USA Carry Online,76022
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",69174
167819383282739,ProgressVA,Progress Now,67673
20787991568,Senate Democrats,DSCC,62080
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,61083
73970658023,International Rescue Committee,International Rescue Committee,50293
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),46111
110749446963570,Courier,Courier Newsroom,45985
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,42320
328334567023,Associated Builders and Contractors - Virginia Chapter,"Associated Builders and Contractors, Inc",36523
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,34369
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,33463
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,32098
9324910069,NRSC,NRSC,29414
108824017345866,Facebook,"Facebook, Inc.",27593
181467702005600,Mark Warner VA,FRIENDS OF MARK WARNER,27089
11131463701,truth,TRUTH INITIATIVE FOUNDATION,26300
260754507296508,The Voter Participation Center,Voter Participation Center,25858
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,25632
25055115099,Intuit,INTUIT INC.,24419
1883837055193241,Shield Republic,Shield Republic,23638
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,23123
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",22961
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",21943
524700097675926,Virginia Hospital & Healthcare Association,Virginia Hospital & Healthcare Association,21472
7976226799,The Daily Show,Comedy Central,21199
196382377057315,Learn Our History,Learn Our History,20967
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,20843
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,20746
46508415624,Scott Taylor,Scott Taylor for Congress 2020,19583
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,19156
1155870504462715,Denver Riggleman,"FRIENDS OF DENVER RIGGLEMAN, INC.",19116
18982436812,ACLU,American Civil Liberties Union,18845
127225910653607,PragerU,PragerU,17860
1593518174052711,Candace Owens,Candace Owens LLC,17521
105756057589080,The Lincoln Project,The Lincoln Project,17422
107858693983382,The GOP Shop,The GOP Shop,17253
55549065733,Voto Latino,VOTO LATINO INC.,17070
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,16945
1449461518652183,4Patriots,4Patriots LLC,16780
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,16643
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,16100
1929286093813834,Family Friendly Economy Virginia,New Venture Fund,16056
92925746942,Judicial Watch,Judicial Watch,16002
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,15318
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,15088
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,15061
359761977474993,New Virginia Majority,New Virginia Majority,15011
228754857151053,House Majority PAC,House Majority PAC,14780
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,14484
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,14053
602714436529710,End Citizens United,END CITIZENS UNITED,13550
111182343682003,Certified CCW,CertifiedCCW.com,13357
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,12995
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,12815
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,12734
2352630938293825,Mytacticalpromos,Entremax,12674
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",12590
302182941354,AARP Advocates,AARP,12485
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",12463
167586229923327,World Food Program USA,World Food Program USA,12443
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,12051
