Page ID,Page Name,Disclaimer,Amount Spent (USD)
202626512363,U.S. Census Bureau,U.S. Census Bureau,33100
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,16701
7860876103,Joe Biden,BIDEN FOR PRESIDENT,15841
156968474833352,Stop Republicans,Stop Republicans,10536
369214063089791,Lummis for Wyoming,LUMMIS FOR WYOMING INC.,7824
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",7612
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,7199
302182941354,AARP Advocates,AARP,6992
100852371602228,Wyoming COVID Response,Wyoming COVID Response,5650
1883837055193241,Shield Republic,Shield Republic,3260
9324910069,NRSC,NRSC,3169
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,2906
1449461518652183,4Patriots,4Patriots LLC,2723
127225910653607,PragerU,PragerU,2626
20787991568,Senate Democrats,DSCC,2583
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",2568
25055115099,Intuit,INTUIT INC.,2410
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",2311
92925746942,Judicial Watch,Judicial Watch,2278
2352630938293825,Mytacticalpromos,Entremax,2261
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2245
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),2215
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,2181
1099779163410386,John Barrasso,Friends of John Barrasso,2083
107531967515227,Short For 307,"SHORT FOR 307, LLC",2082
107858693983382,The GOP Shop,The GOP Shop,2010
196382377057315,Learn Our History,Learn Our History,1997
11131463701,truth,TRUTH INITIATIVE FOUNDATION,1935
1593518174052711,Candace Owens,Candace Owens LLC,1934
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,1901
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,1840
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,1758
1374134752633656,New Health Plans,Shop Insurance Plans,1735
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,1706
73970658023,International Rescue Committee,International Rescue Committee,1642
200650357207240,I Love My Freedom,I Love My Freedom,1587
108824017345866,Facebook,"Facebook, Inc.",1537
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,1491
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,1488
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",1433
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,1428
950998258312654,Knowhere,"Knowhere, Inc.",1347
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,1340
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,1327
717115395103069,PrintedKicks,Printed Kicks,1295
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,1294
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1290
7976226799,The Daily Show,Comedy Central,1227
345504286342057,Keeping America Great Again,RightWingGear.com,1204
150681061641282,Tri-State G&T,Tri-State Generation Transmission Association Inc,1186
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,1170
111182343682003,Certified CCW,CertifiedCCW.com,1113
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,1109
203805062990264,Ben Shapiro,The Daily Wire,1063
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,1061
101908424664094,Best Home Savers 2020,J D Grace Gorospe,1060
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,1046
132492254050920,American AF,AAF Nation,1039
6204742571,Sierra Club,SIERRA CLUB,990
2037695643113766,Blexit,Blexit Foundation,972
602714436529710,End Citizens United,END CITIZENS UNITED,932
105732744375701,Steve Bullock,Montanans for Bullock,921
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,900
228754857151053,House Majority PAC,House Majority PAC,893
85452072376,Newsmax,Newsmax Media,874
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,831
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,815
305832706292882,American Gun Association,GunAssociation.org,809
105756057589080,The Lincoln Project,The Lincoln Project,806
279602905840365,Bipartisan Policy Center Action,BPC Action,803
